25138	28401	1
18949	28401	1
11667	28401	1
6542	28401	1
8452	28401	1
24695	28401	1
4332	17035	1
25138	17035	1
18949	17035	1
11667	17035	1
6542	17035	1
8452	17035	1
24695	17035	1
14495	1520	1
17253	1520	1
19416	1520	1
9167	22612	1
12927	22612	1
29825	22612	1
7863	22612	1
11204	22612	1
20669	22612	1
9167	15035	1
12927	15035	1
29825	15035	1
7863	15035	1
11204	15035	1
20669	15035	1
23064	287	1
21465	287	1
1293	21015	1
1293	24262	1
1022	21015	1
14652	21015	1
14787	21015	1
1022	24262	1
14652	24262	1
14787	24262	1
26301	25177	1
22767	25177	1
26773	25177	1
23719	25177	1
25177	15636	1
25177	25715	1
25177	18037	1
25177	4070	1
25177	17846	1
26895	28505	1
4937	28505	1
26895	19752	1
4937	19752	1
26895	9126	1
4937	9126	1
26895	5668	1
4937	5668	1
26895	23930	1
4937	23930	1
28505	23561	1
19752	23561	1
9126	23561	1
5668	23561	1
23930	23561	1
28505	26475	1
19752	26475	1
9126	26475	1
5668	26475	1
23930	26475	1
28505	7728	1
19752	7728	1
9126	7728	1
5668	7728	1
23930	7728	1
28505	14632	1
19752	14632	1
9126	14632	1
5668	14632	1
23930	14632	1
28505	6369	1
19752	6369	1
9126	6369	1
5668	6369	1
23930	6369	1
28505	14337	1
19752	14337	1
9126	14337	1
5668	14337	1
23930	14337	1
28505	8030	1
19752	8030	1
9126	8030	1
5668	8030	1
23930	8030	1
28505	21737	1
19752	21737	1
9126	21737	1
5668	21737	1
23930	21737	1
28505	18281	1
19752	18281	1
9126	18281	1
5668	18281	1
23930	18281	1
28505	16405	1
19752	16405	1
9126	16405	1
5668	16405	1
23930	16405	1
28505	29305	1
19752	29305	1
9126	29305	1
5668	29305	1
23930	29305	1
15346	12039	1
23225	12039	1
13148	12039	1
15346	11253	1
23225	11253	1
13148	11253	1
15346	4056	1
23225	4056	1
13148	4056	1
15346	548	1
23225	548	1
13148	548	1
26686	12039	1
10864	12039	1
2705	12039	1
26686	11253	1
10864	11253	1
2705	11253	1
26686	4056	1
10864	4056	1
2705	4056	1
26686	548	1
10864	548	1
2705	548	1
9167	8025	1
12927	8025	1
29825	8025	1
7863	8025	1
11204	8025	1
20669	8025	1
9167	3967	1
12927	3967	1
29825	3967	1
7863	3967	1
11204	3967	1
20669	3967	1
9167	2505	1
12927	2505	1
29825	2505	1
7863	2505	1
11204	2505	1
20669	2505	1
9167	10388	1
12927	10388	1
29825	10388	1
7863	10388	1
11204	10388	1
20669	10388	1
9167	9895	1
12927	9895	1
29825	9895	1
7863	9895	1
11204	9895	1
20669	9895	1
23792	8524	1
23792	22191	1
22265	18911	1
653	18911	1
6968	1931	1
10478	1931	1
24751	1931	1
20712	1931	1
14578	1931	1
6968	25245	1
10478	25245	1
24751	25245	1
20712	25245	1
14578	25245	1
6968	5961	1
10478	5961	1
24751	5961	1
20712	5961	1
14578	5961	1
6968	21528	1
10478	21528	1
24751	21528	1
20712	21528	1
14578	21528	1
15228	11489	1
15228	29559	1
15228	6888	1
15228	8295	1
15228	18651	1
15228	9017	1
15228	912	1
15228	1289	1
15228	16708	1
15228	27254	1
28844	16760	1
7944	16760	1
5727	16760	1
28844	202	1
7944	202	1
5727	202	1
28844	6550	1
7944	6550	1
5727	6550	1
28844	16493	1
7944	16493	1
5727	16493	1
28844	27609	1
7944	27609	1
5727	27609	1
29832	16760	1
26461	16760	1
16572	16760	1
28210	16760	1
29832	202	1
26461	202	1
16572	202	1
28210	202	1
29832	6550	1
26461	6550	1
16572	6550	1
28210	6550	1
29832	16493	1
26461	16493	1
16572	16493	1
28210	16493	1
29832	27609	1
26461	27609	1
16572	27609	1
28210	27609	1
10685	16760	1
10685	202	1
10685	6550	1
10685	16493	1
10685	27609	1
15825	16760	1
15825	202	1
15825	6550	1
15825	16493	1
15825	27609	1
10334	16760	1
10334	202	1
10334	6550	1
10334	16493	1
10334	27609	1
15987	16760	1
15987	202	1
15987	6550	1
15987	16493	1
15987	27609	1
25745	16760	1
7823	16760	1
2486	16760	1
13804	16760	1
14587	16760	1
25745	202	1
7823	202	1
2486	202	1
13804	202	1
14587	202	1
25745	6550	1
7823	6550	1
2486	6550	1
13804	6550	1
14587	6550	1
25745	16493	1
7823	16493	1
2486	16493	1
13804	16493	1
14587	16493	1
25745	27609	1
7823	27609	1
2486	27609	1
13804	27609	1
14587	27609	1
24757	16760	1
24757	202	1
24757	6550	1
24757	16493	1
24757	27609	1
22574	16760	1
27609	16760	1
22574	202	1
27609	202	1
22574	6550	1
27609	6550	1
22574	16493	1
27609	16493	1
22574	27609	1
27609	27609	1
17167	16760	1
17167	202	1
17167	6550	1
17167	16493	1
17167	27609	1
6579	16760	1
26432	16760	1
22229	16760	1
