recall,precision
9.471910112359550604e-01,7.060301507537688481e-01
9.460674157303370357e-01,7.057837384744342080e-01
9.460674157303370357e-01,7.063758389261745041e-01
9.449438202247191221e-01,7.061293031066331327e-01
9.449438202247191221e-01,7.067226890756302948e-01
9.449438202247191221e-01,7.073170731707316694e-01
9.449438202247191221e-01,7.079124579124579375e-01
9.449438202247191221e-01,7.085088458298230973e-01
9.438202247191010974e-01,7.082630691399662837e-01
9.438202247191010974e-01,7.088607594936708889e-01
9.438202247191010974e-01,7.094594594594594295e-01
9.438202247191010974e-01,7.100591715976330986e-01
9.438202247191010974e-01,7.106598984771573813e-01
9.438202247191010974e-01,7.112616426756985799e-01
9.438202247191010974e-01,7.118644067796610075e-01
9.438202247191010974e-01,7.124681933842239578e-01
9.438202247191010974e-01,7.130730050933785646e-01
9.426966292134831837e-01,7.128292268479183846e-01
9.426966292134831837e-01,7.134353741496598511e-01
9.426966292134831837e-01,7.140425531914893487e-01
9.415730337078651591e-01,7.137989778534923335e-01
9.415730337078651591e-01,7.144075021312873419e-01
9.404494382022472454e-01,7.141638225255972916e-01
9.393258426966292207e-01,7.139197267292911597e-01
9.393258426966292207e-01,7.145299145299145449e-01
9.393258426966292207e-01,7.151411462788708207e-01
9.382022471910111960e-01,7.148972602739726012e-01
9.382022471910111960e-01,7.155098543273350487e-01
9.382022471910111960e-01,7.161234991423670593e-01
9.382022471910111960e-01,7.167381974248927534e-01
9.382022471910111960e-01,7.173539518900343692e-01
9.370786516853932824e-01,7.171109200343938062e-01
9.370786516853932824e-01,7.177280550774526313e-01
9.370786516853932824e-01,7.183462532299741410e-01
9.370786516853932824e-01,7.189655172413793593e-01
9.359550561797752577e-01,7.187230371009490915e-01
9.348314606741573440e-01,7.184801381692573763e-01
9.337078651685393194e-01,7.182368193604148354e-01
9.337078651685393194e-01,7.188581314878892403e-01
9.337078651685393194e-01,7.194805194805194981e-01
9.337078651685393194e-01,7.201039861351820059e-01
9.337078651685393194e-01,7.207285342584561771e-01
9.325842696629212947e-01,7.204861111111111605e-01
9.314606741573033810e-01,7.202432667245872722e-01
9.314606741573033810e-01,7.208695652173913171e-01
9.314606741573033810e-01,7.214969538729330001e-01
9.314606741573033810e-01,7.221254355400696934e-01
9.314606741573033810e-01,7.227550130775937109e-01
9.303370786516853563e-01,7.225130890052355870e-01
9.292134831460674427e-01,7.222707423580786434e-01
9.292134831460674427e-01,7.229020979020979176e-01
9.292134831460674427e-01,7.235345581802274939e-01
9.292134831460674427e-01,7.241681260945709298e-01
9.292134831460674427e-01,7.248028045574057554e-01
9.280898876404494180e-01,7.245614035087719618e-01
9.280898876404494180e-01,7.251975417032484605e-01
9.280898876404494180e-01,7.258347978910368870e-01
9.269662921348315043e-01,7.255936675461741592e-01
9.269662921348315043e-01,7.262323943661971315e-01
9.269662921348315043e-01,7.268722466960352291e-01
9.269662921348315043e-01,7.275132275132275561e-01
9.258426966292134797e-01,7.272727272727272929e-01
9.258426966292134797e-01,7.279151943462897068e-01
9.247191011235954550e-01,7.276746242263483211e-01
9.235955056179775413e-01,7.274336283185840468e-01
9.235955056179775413e-01,7.280779450841452505e-01
9.235955056179775413e-01,7.287234042553191182e-01
9.224719101123595166e-01,7.284826974267968325e-01
9.224719101123595166e-01,7.291296625222024597e-01
9.213483146067416030e-01,7.288888888888889195e-01
9.202247191011235783e-01,7.286476868327401712e-01
9.202247191011235783e-01,7.292965271593945253e-01
9.191011235955056646e-01,7.290552584670231262e-01
9.191011235955056646e-01,7.297056199821587708e-01
9.191011235955056646e-01,7.303571428571428159e-01
9.191011235955056646e-01,7.310098302055406672e-01
9.191011235955056646e-01,7.316636851520572637e-01
9.191011235955056646e-01,7.323187108325872607e-01
9.191011235955056646e-01,7.329749103942652111e-01
9.179775280898876400e-01,7.327354260089685711e-01
9.179775280898876400e-01,7.333931777378814854e-01
9.179775280898876400e-01,7.340521114106020040e-01
9.179775280898876400e-01,7.347122302158273222e-01
9.168539325842696153e-01,7.344734473447345202e-01
9.157303370786517016e-01,7.342342342342342842e-01
9.157303370786517016e-01,7.348963029756537813e-01
9.157303370786517016e-01,7.355595667870036269e-01
9.157303370786517016e-01,7.362240289069557075e-01
9.146067415730336769e-01,7.359855334538878413e-01
9.146067415730336769e-01,7.366515837104072872e-01
9.134831460674157633e-01,7.364130434782608647e-01
9.134831460674157633e-01,7.370806890299184122e-01
9.123595505617977386e-01,7.368421052631578538e-01
9.123595505617977386e-01,7.375113533151680389e-01
9.123595505617977386e-01,7.381818181818181612e-01
9.123595505617977386e-01,7.388535031847133228e-01
9.112359550561798249e-01,7.386156648451730478e-01
9.101123595505618002e-01,7.383773928896991690e-01
9.089887640449437756e-01,7.381386861313868897e-01
9.089887640449437756e-01,7.388127853881278906e-01
9.089887640449437756e-01,7.394881170018281491e-01
9.089887640449437756e-01,7.401646843549862798e-01
9.078651685393258619e-01,7.399267399267399625e-01
9.078651685393258619e-01,7.406049495875344224e-01
9.067415730337078372e-01,7.403669724770641780e-01
9.056179775280899236e-01,7.401285583103764942e-01
9.056179775280899236e-01,7.408088235294117974e-01
9.044943820224718989e-01,7.405703771849125872e-01
9.044943820224718989e-01,7.412523020257827389e-01
9.033707865168539852e-01,7.410138248847926157e-01
9.022471910112359605e-01,7.407749077490775047e-01
9.022471910112359605e-01,7.414589104339797121e-01
9.022471910112359605e-01,7.421441774491681631e-01
9.011235955056179359e-01,7.419056429232192551e-01
9.000000000000000222e-01,7.416666666666666963e-01
