recall,precision
9.584269662921348631e-01,6.732438831886345953e-01
9.573033707865168385e-01,6.729857819905212812e-01
9.561797752808989248e-01,6.727272727272727293e-01
9.550561797752809001e-01,6.724683544303797778e-01
9.550561797752809001e-01,6.730007917656373184e-01
9.550561797752809001e-01,6.735340729001584315e-01
9.550561797752809001e-01,6.740681998413957654e-01
9.550561797752809001e-01,6.746031746031746490e-01
9.550561797752809001e-01,6.751389992057188483e-01
9.550561797752809001e-01,6.756756756756756577e-01
9.550561797752809001e-01,6.762132060461416572e-01
9.550561797752809001e-01,6.767515923566879144e-01
9.539325842696628754e-01,6.764940239043825132e-01
9.539325842696628754e-01,6.770334928229665428e-01
9.528089887640449618e-01,6.767757382282522105e-01
9.528089887640449618e-01,6.773162939297124874e-01
9.528089887640449618e-01,6.778577138289368920e-01
9.528089887640449618e-01,6.784000000000000030e-01
9.516853932584269371e-01,6.781425140112089522e-01
9.516853932584269371e-01,6.786858974358974672e-01
9.516853932584269371e-01,6.792301523656776308e-01
9.516853932584269371e-01,6.797752808988763995e-01
9.516853932584269371e-01,6.803212851405622263e-01
9.505617977528090234e-01,6.800643086816720029e-01
9.505617977528090234e-01,6.806114239742557803e-01
9.494382022471909988e-01,6.803542673107890737e-01
9.494382022471909988e-01,6.809024979854955140e-01
9.483146067415730851e-01,6.806451612903225978e-01
9.471910112359550604e-01,6.803874092009685182e-01
9.471910112359550604e-01,6.809369951534733900e-01
9.460674157303370357e-01,6.806790622473726238e-01
9.460674157303370357e-01,6.812297734627831280e-01
9.460674157303370357e-01,6.817813765182185737e-01
9.460674157303370357e-01,6.823338735818476053e-01
9.460674157303370357e-01,6.828872668288726855e-01
9.460674157303370357e-01,6.834415584415584055e-01
9.449438202247191221e-01,6.831844029244517058e-01
9.438202247191010974e-01,6.829268292682927344e-01
9.426966292134831837e-01,6.826688364524002850e-01
9.415730337078651591e-01,6.824104234527686996e-01
9.415730337078651591e-01,6.829665851670742027e-01
9.415730337078651591e-01,6.835236541598694870e-01
9.415730337078651591e-01,6.840816326530612113e-01
9.404494382022472454e-01,6.838235294117647189e-01
9.393258426966292207e-01,6.835650040883074485e-01
9.393258426966292207e-01,6.841243862520458574e-01
9.393258426966292207e-01,6.846846846846846857e-01
9.393258426966292207e-01,6.852459016393442903e-01
9.393258426966292207e-01,6.858080393765381144e-01
9.382022471910111960e-01,6.855500821018062352e-01
9.382022471910111960e-01,6.861133935907970383e-01
9.370786516853932824e-01,6.858552631578946901e-01
9.370786516853932824e-01,6.864197530864197816e-01
9.370786516853932824e-01,6.869851729818781116e-01
9.370786516853932824e-01,6.875515251442704256e-01
9.370786516853932824e-01,6.881188118811880639e-01
9.370786516853932824e-01,6.886870355078447137e-01
